abandon	GIVE-UP_ABOLISH_ABANDON	DISCARD	CHANGE_SWITCH
abase	DOWNPLAY_HUMILIATE
abate	REDUCE_DIMINISH
abdicate	GIVE-UP_ABOLISH_ABANDON
abduct	REMOVE_TAKE-AWAY_KIDNAP
abet	INCITE_INDUCE
abhor	DISLIKE
abide	OBEY
able	EXIST-WITH-FEATURE
abolish	GIVE-UP_ABOLISH_ABANDON
abominate	DISLIKE
abort	STOP
abound	EXIST-WITH-FEATURE
abridge	REDUCE_DIMINISH
absent	LEAVE_DEPART_RUN-AWAY
absolve	PARDON
absorb	ABSORB
abstain	ABSTAIN_AVOID_REFRAIN
abuse	SPEAK
abut	BORDER
accede	AGREE_ACCEPT
accelerate	SPEED-UP
accent	EMPHASIZE
accentuate	EMPHASIZE
accept	AGREE_ACCEPT
access	ENTER
accessorize	LOAD_PROVIDE_CHARGE_FURNISH
acclaim	APPROVE_PRAISE
accommodate	LOAD_PROVIDE_CHARGE_FURNISH
accompany	ACCOMPANY
accomplish	ACHIEVE
accord	GIVE_GIFT
account	AMELIORATE
accredit	LOAD_PROVIDE_CHARGE_FURNISH
accrete	INCREASE_ENLARGE_MULTIPLY
accrue	INCREASE_ENLARGE_MULTIPLY
accumulate	AMASS
accuse	ACCUSE
accustom	CAUSE-MENTAL-STATE
ache	HURT_HARM_ACHE
achieve	ACHIEVE
acidify	CONVERT
acknowledge	RECOGNIZE_ADMIT_IDENTIFY
acquaint	KNOW
acquiesce	AGREE_ACCEPT
acquire	OBTAIN
acquit	SUBJECTIVE-JUDGING
act	CARRY-OUT-ACTION	BEHAVE
activate	OPERATE
actualize	CREATE_MATERIALIZE
adapt	ADJUST_CORRECT
add	REACH	ADD	SPEAK
addict	CAUSE-SMT
address	FOCUS	SPEAK
adhere	FOLLOW_SUPPORT_SPONSOR_FUND	ATTACH
adjourn	FINISH_CONCLUDE_END
adjust	ADJUST_CORRECT
administer	GIVE_GIFT
administrate	LEAD_GOVERN
admire	LIKE
admit	RECOGNIZE_ADMIT_IDENTIFY	AUTHORIZE_ADMIT
admonish	REPRIMAND	WARN
adopt	LEARN
adore	LIKE
adorn	EMBELLISH
advance	INCREASE_ENLARGE_MULTIPLY	AMELIORATE
advantage	OBTAIN
advertise	PUBLICIZE
advise	INFORM
advocate	PROPOSE
affect	DECEIVE	AFFECT
affiliate	ALLY_ASSOCIATE_MARRY
affirm	PROVE
afflict	HURT_HARM_ACHE
afford	LOAD_PROVIDE_CHARGE_FURNISH	EXIST-WITH-FEATURE
age	DEVELOP_AGE
aggravate	WORSEN
agitate	CAUSE-MENTAL-STATE
agonize	HURT_HARM_ACHE
agree	AGREE_ACCEPT
aid	HELP_HEAL_CARE_CURE
ail	HURT_HARM_ACHE
aim	DIRECT_AIM_MANEUVER	REQUIRE_NEED_WANT_HOPE
air	TRANSMIT
airlift	CARRY_TRANSPORT
alarm	CAUSE-MENTAL-STATE
alert	WARN
alienate	AROUSE_WAKE_ENLIVEN
align	ADJUST_CORRECT
allay	WEAKEN
allege	AFFIRM
alleviate	HELP_HEAL_CARE_CURE
allocate	GIVE_GIFT
allot	GIVE_GIFT
allow	RECOGNIZE_ADMIT_IDENTIFY	AUTHORIZE_ADMIT
allude	CITE
ally	ALLY_ASSOCIATE_MARRY
alter	CHANGE_SWITCH
alternate	ALTERNATE
amalgamate	COMBINE_MIX_UNITE
amass	AMASS
amaze	CAUSE-MENTAL-STATE
amble	MOVE-ONESELF
ambush	ATTACK_BOMB
amend	ADJUST_CORRECT
americanize	CHANGE-APPEARANCE/STATE
amortize	PAY
amount	REACH	MEAN
amplify	INCREASE_ENLARGE_MULTIPLY
amputate	REMOVE_TAKE-AWAY_KIDNAP
amuse	CAUSE-MENTAL-STATE
analyze	ANALYZE
anchor	ATTACH
anger	CAUSE-MENTAL-STATE
angle	INCLINE
animate	CHANGE-APPEARANCE/STATE
annihilate	KILL
announce	DECREE_DECLARE
annoy	CAUSE-MENTAL-STATE
annul	CANCEL_ELIMINATE
anoint	GIVE_GIFT
answer	ANSWER
antagonize	FACE_CHALLENGE
anticipate	PRECEDE	GUESS
apologize	JUSTIFY_EXCUSE
appall	CAUSE-MENTAL-STATE
appeal	ASK_REQUEST	LIKE
appear	APPEAR	SEEM
appease	MAKE-RELAX
append	ATTACH
applaud	APPROVE_PRAISE
apply	ASK_REQUEST	USE	PUT_APPLY_PLACE_PAVE
appoint	ASSIGN-smt-to-smn
appraise	CALCULATE_ESTIMATE
appreciate	LIKE	INCREASE_ENLARGE_MULTIPLY
apprehend	REMOVE_TAKE-AWAY_KIDNAP
apprise	INFORM
approach	LEARN	GO-FORWARD
appropriate	STEAL_DEPRIVE
approve	APPROVE_PRAISE
approximate	CALCULATE_ESTIMATE
arbitrage	WORK
arbitrate	NEGOTIATE
arch	BEND
argue	SPEAK
arise	BEGIN
arm	LOAD_PROVIDE_CHARGE_FURNISH
armor	LOAD_PROVIDE_CHARGE_FURNISH
arouse	AROUSE_WAKE_ENLIVEN
arraign	SUMMON
arrange	ORGANIZE
arrest	CAGE_IMPRISON	STOP
arrive	ARRIVE
articulate	EXPLAIN
ascend	RAISE
ascertain	VERIFY
ascribe	ASCRIBE
ask	ASK_REQUEST	REQUIRE_NEED_WANT_HOPE
asphyxiate	KILL
aspire	REQUIRE_NEED_WANT_HOPE
assail	ATTACK_BOMB
assassinate	KILL
assault	ATTACK_BOMB
assemble	GROUP	MOUNT_ASSEMBLE_PRODUCE
assert	DECREE_DECLARE	AFFIRM
assess	CALCULATE_ESTIMATE
assign	ASCRIBE
assimilate	CO-OPT
assist	HELP_HEAL_CARE_CURE
associate	CORRELATE
assuage	MAKE-RELAX
assume	PAY	SUPPOSE
assure	GUARANTEE_ENSURE_PROMISE
astonish	CAUSE-MENTAL-STATE
astound	CAUSE-MENTAL-STATE
atone	JUSTIFY_EXCUSE
atrophy	WEAKEN
attach	ATTACH
attack	CRITICIZE
attain	ACHIEVE
attempt	TRY
attend	ATTEND
attest	VERIFY
attire	EMBELLISH
attract	ATTRACT_SUCK
attribute	ASCRIBE
auction	SELL
audit	VERIFY
audition	TRY
augment	INCREASE_ENLARGE_MULTIPLY
augur	GUESS
author	CREATE_MATERIALIZE
authorize	AUTHORIZE_ADMIT
autograph	WRITE
automate	AUTOMATIZE
avail	LOAD_PROVIDE_CHARGE_FURNISH
avenge	PUNISH
aver	AFFIRM
average	CALCULATE_ESTIMATE
avert	ABSTAIN_AVOID_REFRAIN
avoid	ABSTAIN_AVOID_REFRAIN
await	WAIT
awake	AROUSE_WAKE_ENLIVEN
awaken	AROUSE_WAKE_ENLIVEN
award	GIVE_GIFT
awe	CAUSE-MENTAL-STATE
babysit	WATCH_LOOK-OUT
back	BORDER	STOP	FOLLOW_SUPPORT_SPONSOR_FUND	MOVE-BACK	COPY	HELP_HEAL_CARE_CURE
backfire	MOVE-BACK
backpedal	ADJUST_CORRECT
backtrack	MOVE-BACK
badmouth	OFFEND_DISESTEEM
baffle	CAUSE-MENTAL-STATE
bail	GIVE-UP_ABOLISH_ABANDON	LIBERATE_ALLOW_AFFORD
bake	COOK
balance	COMPENSATE
balk	REFUSE
balloon	MOVE-BY-MEANS-OF	INCREASE_ENLARGE_MULTIPLY
ballyhoo	PUBLICIZE
ban	PRECLUDE_FORBID_EXPEL
band	SECURE_FASTEN_TIE
bandage	ENCLOSE_WRAP
bandy	DISCUSS
bang	HIT
banish	DRIVE-BACK
bank	RETAIN_KEEP_SAVE-MONEY	RELY
bankroll	PAY
bankrupt	FAIL_LOSE
baptize	AUTHORIZE_ADMIT	COMMUNE
bar	PRECLUDE_FORBID_EXPEL
barb	LOAD_PROVIDE_CHARGE_FURNISH
barbecue	COOK
bargain	NEGOTIATE
barge	CARRY_TRANSPORT
bark	SPEAK
barnstorm	TRAVEL
barrel	RUN
barricade	STOP
barter	CHANGE-HANDS
base	BE-LOCATED_BASE	GROUND_BASE_FOUND
bash	HIT
bask	ENJOY
bat	SCORE	MOVE-SOMETHING
bathe	WASH_CLEAN
batter	HIT
battle	FIGHT
be	COPULA	AUXILIARY	EXIST_LIVE	SPEAK
beam	LAUGH	TRANSMIT
bear	CONTINUE	CORRELATE	TOLERATE	STRENGTHEN_MAKE-RESISTANT	GIVE-BIRTH
beat	PERFORM	HIT	DEFEAT
beatify	APPROVE_PRAISE
beautify	EMBELLISH
beckon	SIGNAL_INDICATE
become	AUXILIARY	CHANGE_SWITCH
bedevil	CAUSE-MENTAL-STATE
beef	STRENGTHEN_MAKE-RESISTANT
beep	MAKE-A-SOUND
befall	HAPPEN_OCCUR
befit	HARMONIZE
befriend	BEFRIEND
beg	ASK_REQUEST
begin	BEGIN
begrudge	CAUSE-MENTAL-STATE
beguile	DECEIVE
behave	BEHAVE
behead	KILL
belay	SECURE_FASTEN_TIE
belie	SHOW
believe	BELIEVE
belittle	CRITICIZE
bellow	SHOUT
belly-flop	FAIL_LOSE
belong	POSSESS
bemoan	REGRET_SORRY
bend	GIVE-UP_ABOLISH_ABANDON	BEND
benefit	HELP_HEAL_CARE_CURE
bequeath	GIVE_GIFT
berate	REPRIMAND
bereave	STEAL_DEPRIVE
beseech	ASK_REQUEST
beset	CAUSE-MENTAL-STATE
besiege	CAUSE-MENTAL-STATE
besmirch	ACCUSE
best	DEFEAT
bestow	GIVE_GIFT
bet	GUESS
betray	BETRAY
betroth	ALLY_ASSOCIATE_MARRY
better	AMELIORATE
beware	WATCH_LOOK-OUT
bewilder	CAUSE-MENTAL-STATE
bewitch	ATTRACT_SUCK
bias	INFLUENCE
bicker	ARGUE-IN-DEFENSE
bicycle	MOVE-BY-MEANS-OF
bid	OFFER	REQUIRE_NEED_WANT_HOPE
bide	STAY_DWELL
bike	MOVE-BY-MEANS-OF
bilk	STEAL_DEPRIVE
bill	PUBLICIZE	CHARGE
billet	LOAD_PROVIDE_CHARGE_FURNISH
billow	RAISE
bind	OBLIGE_FORCE	PLAN_SCHEDULE	SECURE_FASTEN_TIE
bitch	OPPOSE_REBEL_DISSENT
bite	EAT_BITE
blab	SPEAK
blabber	SPEAK
black	COLOR
blacken	COLOR
blacklist	PRECLUDE_FORBID_EXPEL
blackmail	INFLUENCE
blame	ACCUSE
blanket	COVER_SPREAD_SURMOUNT
blare	MAKE-A-SOUND
blast	THROW	CRITICIZE	ATTACK_BOMB	MAKE-A-SOUND	SHOOT_LAUNCH_PROPEL
blaze	BURN
bleach	COLOR
bleat	GO-FORWARD
bleed	CAUSE-MENTAL-STATE	REDUCE_DIMINISH	EXCRETE	STEAL_DEPRIVE
blemish	BREAK_DETERIORATE
blend	COMBINE_MIX_UNITE
bless	COMMUNE
blight	BREAK_DETERIORATE
blind	BLIND
blindfold	BLIND
blink	FACIAL-EXPRESSION
block	STOP
blockade	STOP
blog	PUBLISH
bloody	COVER_SPREAD_SURMOUNT
bloom	GROW_PLOW
blossom	GROW_PLOW
blot	DIRTY
